Runs,Innings,Wickets Taken,Wickets Lost,Results
82,2,3,10,0
166,2,6,5,1
135,1,3,8,0
165,2,5,10,0
181,2,5,5,0
156,1,6,8,1
126,1,4,10,0
124,2,7,4,0
143,1,1,8,0
132,2,1,9,0
154,1,5,7,0
126,1,8,8,1
171,2,10,5,1
122,1,1,9,0
133,1,10,8,1
87,2,5,10,0
160,2,6,8,0
168,1,3,9,0
149,1,4,7,0
143,2,6,5,1
145,1,7,9,1
150,2,4,1,1
105,1,3,10,0
141,2,2,7,0
176,2,4,4,1
132,2,10,8,1
134,2,7,3,1
170,1,6,4,1
149,2,5,4,1
137,2,6,9,0
135,1,3,7,0
204,2,3,2,1
93,2,10,0,1
155,2,9,3,1
171,1,7,5,1
166,2,4,9,0
161,1,5,4,0
184,1,5,4,1
147,1,5,9,0
184,2,3,6,0
162,2,9,3,1
138,2,6,10,0
132,2,6,5,1
134,2,4,9,0
149,2,5,9,0
86,2,10,1,1
162,2,5,4,1
140,2,1,4,0
162,1,5,7,0
175,2,5,1,1
161,2,6,7,1
181,1,5,5,1
205,1,9,6,1
128,2,9,1,1
151,2,6,1,1
105,2,4,6,1
121,2,2,10,0
129,2,8,2,1
175,1,4,4,0
185,1,8,4,1
147,2,5,8,0
157,1,7,8,1
123,2,8,9,0
205,1,5,8,0
136,2,2,10,0
186,2,6,4,1
166,2,6,5,1
189,1,7,3,1
143,2,4,6,0
158,1,6,5,0
185,2,2,5,1
142,2,6,1,1
173,1,9,3,1
171,1,5,6,0
215,1,9,1,1
123,2,7,9,0
156,1,5,5,1
130,1,7,8,0
162,2,6,3,1
158,2,8,2,1
165,1,6,6,0
152,2,5,7,1
123,2,10,3,1
263,1,9,5,1
136,2,7,7,0
171,1,6,6,0
187,1,9,3,1
190,1,4,3,0
183,1,7,4,1
115,1,5,9,0
174,1,3,5,0
106,1,6,2,1
146,2,4,2,1
116,2,9,3,1
148,2,7,5,0
70,1,4,10,0
124,1,5,8,0
158,2,6,6,1
168,2,5,8,0
166,2,8,9,0
190,1,5,5,0
186,1,7,4,1
142,2,4,5,1
160,1,3,6,0
165,2,4,5,0
154,1,2,6,0
179,2,6,7,1
166,1,2,10,0
191,2,7,7,0
154,2,8,8,0
131,2,9,1,1
99,2,10,0,1
115,2,4,3,1
124,2,9,10,0
226,1,10,3,1
235,1,7,1,1
84,2,6,6,0
83,2,3,4,1
180,1,10,4,1
139,1,7,8,0
227,1,6,4,1
191,1,3,5,0
170,1,4,7,0
185,1,8,3,1
180,1,4,2,0
179,2,5,6,0
185,1,5,7,0
195,2,6,3,1
175,1,6,4,1
151,1,4,4,0
248,1,10,3,1
186,2,5,1,1
211,1,9,3,1
139,2,8,4,1
159,2,10,6,1
200,2,7,7,0
172,2,4,10,0
157,1,9,8,1
148,2,2,4,0
142,1,6,5,0
134,1,8,9,0
213,1,7,2,1
49,2,10,10,0
134,1,3,10,0
96,2,3,9,0
162,1,5,8,0
119,2,7,10,0
158,1,4,6,0
161,1,10,6,1
176,1,6,7,0
159,2,10,6,1
198,2,4,6,0
167,2,6,8,0
176,2,5,4,1
205,1,5,8,0
175,1,4,4,0
167,1,7,7,1
127,1,4,9,0
141,2,10,6,0
187,2,5,4,1
92,2,10,0,1
218,1,3,6,1
134,2,5,10,0
70,1,3,10,0
181,2,8,5,0
113,2,2,10,0
158,1,3,4,0
205,1,5,3,0
149,1,6,8,0
174,2,4,2,1
171,1,5,7,0
213,1,5,4,1
161,1,8,7,1
202,1,7,4,1
171,2,5,7,0
178,2,7,6,1
163,1,10,5,1
109,2,3,10,0
201,1,5,3,1
158,2,6,2,1
137,2,4,9,0
169,1,8,4,1
194,1,9,2,1
171,1,2,6,0
179,2,6,3,1
85,2,8,2,1
145,1,2,6,0
164,1,5,6,0
120,1,5,7,0
152,1,4,7,0
131,1,4,7,0
